horizon,n_valid_windows
1,1605
2,1602
3,1605
4,1605
5,1602
6,1601
7,1599
8,1596
9,1596
10,1589
11,1579
12,1578
13,1590
14,1579
15,1577
16,1567
17,1573
18,1581
19,1574
20,1572
21,1572
22,1571
23,1572
24,1577
25,1573
26,1571
27,1575
28,1575
29,1574
30,1570
31,1571
32,1570
33,1570
34,1563
35,1553
36,1553
37,1566
38,1556
39,1558
40,1548
41,1553
42,1560
43,1551
44,1549
45,1548
46,1547
47,1547
48,1550
