horizon,skill
1,-0.9046935492358072
2,-0.40142178766815806
3,-0.29933057044052824
4,-0.20333309103618968
5,-0.16542741557122254
6,-0.11124680195927872
7,-0.005182211164154404
8,0.013705875056687633
9,-0.002470265841679975
10,0.0046826607095774575
11,-0.028538528274923314
12,-0.03443369269018226
13,0.0012385834333717982
14,0.00623453828294207
15,-0.003425470842115974
16,-0.057806090902856155
17,-0.0645077614946683
18,-0.05773334569970512
19,-0.09733575023605168
20,-0.0960737486086507
21,-0.07680506794306319
22,-0.06008515689476557
23,-0.04099756043148162
24,-0.04014146919660355
25,-0.017308580802734008
26,-0.01969428507403026
27,0.027686607532073637
28,0.046728399693079514
29,0.08731041013047391
30,0.09823423027592626
31,0.11885510114935949
32,0.12548386659827315
33,0.10991402805533534
34,0.10471429312276903
35,0.0887597665161638
36,0.08014594084848448
37,0.09263003313737161
38,0.09071151864076343
39,0.07879698150298553
40,0.08128708406327967
41,0.09180303970786596
42,0.12353972192537344
43,0.11321853335244492
44,0.11561998444357424
45,0.13323606322284598
46,0.13653340196183716
47,0.14753962116702646
48,0.1699217026644273
