horizon,skill
1,-0.799935123975442
2,-0.49043634203626585
3,-0.3213327798653389
4,-0.23138280432556058
5,-0.14157426060832434
6,-0.08529970869237546
7,-0.030162526385534516
8,0.0002953521275412818
9,0.007455927479918967
10,0.018007581031197817
11,0.0004869615464891952
12,0.013446502814161265
13,0.02965975818611999
14,0.033771465623623986
15,0.051601733111451664
16,0.037642800925676956
17,0.04119140182205616
18,0.03245891485190122
19,0.02802310484358117
20,0.013018918957547032
21,0.016426235034410652
22,0.017837070202239458
23,0.021018592663612945
24,0.01924242726050507
25,0.029468571849351366
26,0.024198965030664654
27,0.03930951152145623
28,0.06814837506530691
29,0.087716899920807
30,0.09804459518434194
31,0.11528874054341642
32,0.1272437748984131
33,0.1239099717257709
34,0.13616105390618494
35,0.13118811053334045
36,0.14056617425383522
37,0.15383244305745047
38,0.14960550043580856
39,0.14788506617936892
40,0.1410122246285832
41,0.14313042885125704
42,0.15221057852545972
43,0.145653714547352
44,0.14534556819073297
45,0.14444509330028
46,0.13662778810564524
47,0.14307081325950743
48,0.1420662611273048
