horizon,skill
1,0.06783760809371164
2,0.11888129145395365
3,0.116362002691211
4,0.1158372383615267
5,0.10948382041105886
6,0.1152383621971701
7,0.11661958490627677
8,0.11182407231968006
9,0.11848542527708805
10,0.12292664490352323
11,0.12140053111503735
12,0.12073772172095831
13,0.11579108243599767
14,0.10314666123884941
15,0.0935799405083848
16,0.09689876884096282
17,0.0991220812411232
18,0.1108917625537531
19,0.11502311025411838
20,0.10031050205510317
21,0.10166066877373447
22,0.08366305832058107
23,0.09470864403525359
24,0.09819867531904558
25,0.09843135778958789
26,0.11573963995077452
27,0.11458680220285922
28,0.11593717392959713
29,0.10868220208632584
30,0.10508222577245085
31,0.10918516501505715
32,0.11425474755875642
33,0.10758045252093773
34,0.11407551648689362
35,0.10932151206029017
36,0.11818737350449615
37,0.11079143137244873
38,0.09563216128993735
39,0.09825672217488357
40,0.09435883527578848
41,0.09594489613505919
42,0.10179795150880666
43,0.10929015726101565
44,0.10748086771430998
45,0.10398791633882176
46,0.09609720439908265
47,0.10358518868396482
48,0.11335921275114491
