domain,model,horizon,n_origins_x,mae_model,mae_baseline,skill,n_origins_y,dm_stat,p_value,p_value_bh,significant_bh,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,extratrees,38,365,74.64509589041096,82.34794520547945,0.0935402734803872,365,6.516319804643945,2.402698040526729e-10,8.649712945896226e-09,True,48,26,23,48,3
pm25,extratrees,39,365,74.44745205479452,83.1041095890411,0.1041664194112023,365,3.695172176675983,0.0002534979963746,0.0018251855738974,True,48,26,23,48,3
pm25,extratrees,40,365,74.90608219178083,83.4876712328767,0.1027886981918418,365,2.9729837956625267,0.0031455417062604,0.0161770716321966,True,48,26,23,48,3
pm25,extratrees,41,365,76.32767123287671,83.66575342465754,0.0877071189992796,365,2.5358554290965416,0.0116348279828446,0.0316116081043326,True,48,26,23,48,3
pm25,extratrees,42,365,74.78460273972603,84.36712328767123,0.1135812171202182,365,3.966056632156923,8.799943383830389e-05,0.0007454069689832,True,48,26,23,48,3
pm25,extratrees,43,365,78.50745205479453,86.1972602739726,0.0892117475049265,365,2.821787250633755,0.0050377117882616,0.0202075556641396,True,48,26,23,48,3
pm25,extratrees,44,365,78.33528767123288,88.46849315068494,0.1145402743798582,365,2.6566355587293256,0.0082398797094254,0.02648770111361,True,48,26,23,48,3
pm25,extratrees,45,365,81.0410410958904,89.62191780821918,0.0957452922474934,365,3.2901399726145053,0.0010991789130547,0.0068818158034733,True,48,26,23,48,3
pm25,extratrees,46,365,82.64756164383562,91.03561643835616,0.0921403635488141,365,2.143388447336424,0.0327442024976254,0.0714418963584555,False,48,26,23,48,3
pm25,extratrees,47,365,83.2196712328767,92.43013698630136,0.0996478643625693,365,2.4032740582257888,0.0167486109148062,0.0423122802058264,True,48,26,23,48,3
pm25,extratrees,48,365,85.3718904109589,94.34794520547943,0.0951377878444696,365,4.017744122763776,7.141525139253702e-05,0.0006427372625328,True,48,26,23,48,3
pm25,knn,1,365,22.32164383561644,15.073972602739726,-0.4808069792802618,365,-7.814773613757607,5.972999872483342e-14,5.554889881409508e-12,True,48,16,33,48,3
pm25,knn,2,365,31.853698630136986,23.71780821917808,-0.3430287628508721,365,-6.475407666560309,3.0652236304717917e-10,1.4253289881693833e-08,True,48,16,33,48,3
pm25,knn,3,365,39.658630136986304,32.06849315068493,-0.2366851772746692,365,-4.398883190695641,1.4308082125769062e-05,0.000166331454712,True,48,16,33,48,3
pm25,knn,4,365,47.584109589041105,37.394520547945206,-0.2724888270202947,365,-4.132313661503336,4.460183516630245e-05,0.0003698794961336,True,48,16,33,48,3
pm25,knn,5,365,51.85589041095891,40.95890410958904,-0.266046822742475,365,-3.9693682351844455,8.683569687040205e-05,0.0004750423417027,True,48,16,33,48,3
pm25,knn,6,365,56.80383561643836,46.605479452054794,-0.2188231144553525,365,-3.819301386170196,0.0001572962509386,0.0008126972965162,True,48,16,33,48,3
pm25,knn,7,365,56.724383561643826,46.21917808219178,-0.2272910491997626,365,-3.9697886071736375,8.668902175479332e-05,0.0004750423417027,True,48,16,33,48,3
pm25,knn,8,365,60.09917808219177,49.18630136986302,-0.2218682114409844,365,-4.057533453480708,6.071891950654162e-05,0.0004343738087775,True,48,16,33,48,3
pm25,knn,9,365,59.54849315068493,49.86027397260274,-0.1943073795263477,365,-3.087253397168689,0.002175069026771,0.0077800545957578,True,48,16,33,48,3
