domain,model,horizon,n_origins,mae_model,mae_baseline,skill
pm10,extratrees,1,2536,5.664065849615007,5.543769716088328,-0.02169933811961422
pm10,extratrees,2,2535,7.139930059518645,7.529322813938199,0.0517168361673529
pm10,extratrees,3,2534,7.610820386703263,8.399960536700869,0.09394569731009061
pm10,extratrees,4,2533,7.8403122029355865,8.92946440321095,0.12197284754096949
pm10,extratrees,5,2532,8.047134746317287,9.236966824644549,0.1288119900087492
pm10,extratrees,6,2531,8.056365539109908,9.47346239957856,0.1495859486951353
pm10,extratrees,7,2530,7.948674620877019,9.605401844532278,0.1724787000554614
pm10,knn,1,2536,5.845294426919033,5.543769716088328,-0.05438983332147851
pm10,knn,2,2535,7.246942800788955,7.529322813938199,0.03750403856061335
pm10,knn,3,2534,7.9643712181005,8.399960536700869,0.051856114882588344
pm10,knn,4,2533,8.141768653770232,8.92946440321095,0.08821310146636241
pm10,knn,5,2532,8.235755660874144,9.236966824644549,0.10839176785816085
pm10,knn,6,2531,8.47096009482418,9.47346239957856,0.10582216537841305
pm10,knn,7,2530,8.421600790513834,9.605401844532278,0.12324326177902734
pm10,lightgbm,1,2536,5.563884980933665,5.543769716088328,-0.0036284452413239965
pm10,lightgbm,2,2535,6.89799061056344,7.529322813938199,0.08384979884326971
pm10,lightgbm,3,2534,7.411761251749522,8.399960536700869,0.1176433247077453
pm10,lightgbm,4,2533,7.663170808978785,8.92946440321095,0.14181069961786485
pm10,lightgbm,5,2532,7.9006626208555115,9.236966824644549,0.14466915700332827
pm10,lightgbm,6,2531,7.930315479370295,9.47346239957856,0.16289154430769837
pm10,lightgbm,7,2530,7.9289982641502705,9.605401844532278,0.17452716789108336
pm10,mlp,1,2536,5.457249319468748,5.543769716088328,0.015606780413063182
pm10,mlp,2,2535,6.728393569120075,7.529322813938199,0.10637467201372386
pm10,mlp,3,2534,7.104520324403627,8.399960536700869,0.15421979741895708
pm10,mlp,4,2533,7.242905095154578,8.92946440321095,0.1888757524415352
pm10,mlp,5,2532,7.368956739185309,9.236966824644549,0.20223197949302185
pm10,mlp,6,2531,7.366094203408427,9.47346239957856,0.22244962900405685
pm10,mlp,7,2530,7.401179749830107,9.605401844532278,0.22947734310115186
pm10,ridge,1,2536,5.459085466407526,5.543769716088328,0.01527557132018742
pm10,ridge,2,2535,6.726632690165603,7.529322813938199,0.10660854151274601
pm10,ridge,3,2534,7.066746014866391,8.399960536700869,0.15871676015731684
pm10,ridge,4,2533,7.2056683044837095,8.92946440321095,0.19304585593144652
pm10,ridge,5,2532,7.271227127249913,9.236966824644549,0.21281225046191288
pm10,ridge,6,2531,7.309916209361328,9.47346239957856,0.22837966721792036
pm10,ridge,7,2530,7.34087852459217,9.605401844532278,0.23575518823599784
