horizon,n_valid_windows
1,346
2,345
3,346
4,346
5,346
6,347
7,346
8,346
9,346
10,345
11,343
12,344
13,345
14,343
15,343
16,336
17,339
18,345
19,343
20,344
21,344
22,344
23,345
24,343
25,343
26,342
27,343
28,343
29,343
30,344
31,343
32,343
33,344
34,343
35,341
36,343
37,344
38,342
39,342
40,335
41,338
42,344
43,342
44,343
45,343
46,343
47,344
48,341
