horizon,skill
1,-0.11582163023488934
2,-0.06438052453650744
3,-0.08440533679570517
4,-0.07075653545470395
5,0.060868447315740815
6,0.1340435031874807
7,0.1244643561901928
8,0.09920775692285133
9,0.07060684268096473
10,0.05488202273273057
11,0.0449641425657018
12,0.07125249685430268
13,0.17095635444791246
14,0.10666335471284105
15,0.10121754781320191
16,0.05494785030529792
17,-0.014480081368143605
18,-0.05427265493855149
19,0.06789074124157057
20,0.16212130369334643
21,0.13697007838398978
22,0.13369330854352346
23,0.14961846550624291
24,0.061692264299408994
25,0.0821696663740028
26,0.06596301318792219
27,0.03980606122734487
28,0.05750163325208968
29,0.11292308790193539
30,0.09241198130676032
31,0.12176922785559063
32,0.10684942121225705
33,0.13238088247735413
34,0.16230759645744763
35,0.136137106181918
36,0.08923803264719476
37,0.10547574787404379
38,0.13579228458532955
39,0.05443862532584309
40,0.019357023296877607
41,0.01721072569302562
42,0.009764867476644401
43,0.09677469135213168
44,0.1498682657251137
45,0.11082257009207042
46,0.1025048072412248
47,0.08995122087536245
48,0.08984317615793413
49,0.10451935822469438
50,0.08854645960964436
51,0.07348170795735887
52,0.05395997326494495
53,0.0918334783863356
54,0.12574414946015489
55,0.1145733002661724
56,0.11592147902819316
57,0.12487645986551943
58,0.11985049432695516
59,0.1083144593846952
60,0.09876284016399561
61,0.08795310217802876
62,0.11785082723382323
63,0.0833485365688128
64,0.06429732192637994
65,0.007962427954059992
66,0.01756571783639438
67,0.06946982019864378
68,0.13615035847856316
69,0.12658831681724703
70,0.1260291159461202
71,0.10717477645504747
72,0.054675462817865506
