horizon,skill
1,-0.12766079655244056
2,-0.010886451884296378
3,0.018078644393594856
4,0.03275495662795369
5,0.033098973888145755
6,0.03233749084813953
7,0.032662666391183315
8,0.03683949741513748
9,0.04089262839942254
10,0.04478033102276047
11,0.03811765038070003
12,0.041727760989146545
13,0.052261781563870735
14,0.05603729451298445
15,0.05928512314189116
16,0.06361728378288323
17,0.06220332958262054
18,0.06494673311465571
19,0.06704022077029836
20,0.06660426805604003
21,0.06936014307115423
22,0.061445816359585126
23,0.05691810829764643
24,0.05052672348499565
25,0.04218414597391518
26,0.03824839410749192
27,0.035774995070111504
28,0.03468151005417708
29,0.03875870858792607
30,0.037766127183828324
31,0.041569424528981824
32,0.040641764865249064
33,0.039463410433000945
34,0.040632514198119085
35,0.04164934227617145
36,0.03952526356252706
37,0.0407436071165167
38,0.049943792849092894
39,0.05046710944623256
40,0.04931748943421854
41,0.05456876794073584
42,0.06183787650825867
43,0.06251118574838
44,0.060195031232385676
45,0.05968501028762452
46,0.05797436129799716
47,0.05372130293706745
48,0.049391294668450936
