horizon,skill
1,-0.43498487152330534
2,-0.2066764807429491
3,-0.01933075274454077
4,-0.16922959377107505
5,-0.2650206060461249
6,-0.24555911555063292
7,-0.2013930478938739
8,-0.21824242635535485
9,-0.19870044123455344
10,-0.08998931273771227
11,-0.11145227149786496
12,-0.07409265989888714
13,-0.07044694470297475
14,-0.09769445447851921
15,-0.10024731043807389
16,-0.0031922501680130555
17,0.21450027365612312
18,0.18351251648836242
19,-0.12103678860316158
20,-0.038112843527688955
21,0.042978309799140635
22,0.053934135340408695
23,-0.029805822725131215
24,0.0271976964105084
25,0.023870257051746502
26,0.059850880755660696
27,0.1309858284381753
28,0.09246962155885219
29,-0.05417314135534945
30,-0.13077778674918838
31,-0.06100730286809597
32,-0.031421306734573884
33,-0.009674839425247939
34,0.011653177717126262
35,0.056202681906336815
36,0.08955355350909666
37,0.02880224212044169
38,-0.005875947385321378
39,0.020472237916702052
40,0.04066378024268191
41,0.15912286538172415
42,0.1511699089572901
43,-0.09125249408544223
44,-0.08037607776834665
45,-0.013390225198062211
46,0.029956210307696796
47,0.024668665277260193
48,0.10206218462002548
49,0.018270665406822206
50,0.07243315512246917
51,0.11214758138633107
52,0.07000032253757515
53,-0.055244502067330004
54,-0.06671676879965638
55,-0.06915695379337294
56,0.015282046133650806
57,-0.015725063754351343
58,0.09600034642195554
59,0.11202196956217292
60,0.013899247516408808
61,-0.03240379392044912
62,-0.02033641020653376
63,-0.01224964914269333
64,0.05299574775778659
65,0.0918520098014115
66,0.07738940091689861
67,0.09137130175595964
68,-0.03647880009374038
69,0.039908201768589
70,0.0010825325281442755
71,0.11935417194945641
72,0.10646713055804102
