date,pm10
2017-01-02,26.0
2017-01-03,30.75
2017-01-04,24.583333333333332
2017-01-05,29.863636363636363
2017-01-06,19.333333333333332
2017-01-07,30.041666666666668
2017-01-08,30.291666666666668
2017-01-09,25.25
2017-01-10,22.375
2017-01-11,27.583333333333332
2017-01-12,25.916666666666668
2017-01-13,20.416666666666668
2017-01-14,11.791666666666666
2017-01-15,14.75
2017-01-16,22.0
2017-01-17,18.916666666666668
2017-01-18,24.75
2017-01-19,35.91304347826087
2017-01-20,20.541666666666668
2017-01-21,20.5
2017-01-22,8.458333333333334
2017-01-23,15.75
2017-01-24,24.666666666666668
2017-01-25,25.791666666666668
2017-01-26,26.125
2017-01-27,30.875
2017-01-28,13.333333333333334
2017-01-29,13.416666666666666
2017-01-30,33.458333333333336
2017-01-31,25.458333333333332
2017-02-01,28.333333333333332
2017-02-02,27.80952380952381
2017-02-03,26.708333333333332
2017-02-04,22.375
2017-02-05,18.583333333333332
2017-02-06,15.708333333333334
2017-02-07,24.125
2017-02-08,13.875
2017-02-09,18.125
2017-02-10,27.166666666666668
2017-02-11,23.375
2017-02-12,39.416666666666664
2017-02-13,52.541666666666664
2017-02-14,33.904761904761905
2017-02-15,31.208333333333332
2017-02-16,34.958333333333336
2017-02-17,35.0
2017-02-18,33.291666666666664
2017-02-19,22.25
2017-02-20,27.958333333333332
2017-02-21,33.875
2017-02-22,44.583333333333336
2017-02-23,53.583333333333336
2017-02-24,35.541666666666664
2017-02-25,21.25
2017-02-26,21.333333333333332
2017-02-27,34.833333333333336
2017-02-28,27.5
2017-03-01,20.291666666666668
2017-03-02,30.625
2017-03-03,23.541666666666668
2017-03-04,9.75
2017-03-05,13.25
2017-03-06,19.833333333333332
2017-03-07,27.047619047619047
2017-03-08,30.875
2017-03-09,37.833333333333336
2017-03-10,47.666666666666664
2017-03-11,37.5
2017-03-12,22.208333333333332
2017-03-13,30.291666666666668
2017-03-14,29.833333333333332
2017-03-15,37.625
2017-03-16,45.833333333333336
2017-03-17,41.333333333333336
2017-03-18,37.666666666666664
2017-03-19,33.583333333333336
2017-03-20,49.15
2017-03-21,32.916666666666664
2017-03-22,28.208333333333332
2017-03-23,25.0
2017-03-24,16.666666666666668
2017-03-25,15.708333333333334
2017-03-26,21.318181818181817
2017-03-27,22.291666666666668
2017-03-28,26.0
2017-03-29,32.291666666666664
2017-03-30,35.625
2017-03-31,21.285714285714285
2017-04-01,12.083333333333334
2017-04-02,12.083333333333334
2017-04-03,20.35
2017-04-04,29.375
2017-04-05,22.4375
2017-04-06,20.458333333333332
2017-04-07,29.291666666666668
2017-04-08,30.125
2017-04-09,24.75
2017-04-10,33.208333333333336
2017-04-11,34.041666666666664
2017-04-12,23.791666666666668
2017-04-13,35.041666666666664
2017-04-14,28.166666666666668
2017-04-15,28.291666666666668
2017-04-16,24.333333333333332
2017-04-17,27.875
2017-04-18,34.208333333333336
2017-04-19,27.047619047619047
2017-04-20,27.666666666666668
2017-04-21,27.625
2017-04-22,27.208333333333332
2017-04-23,26.458333333333332
2017-04-24,32.25
2017-04-25,31.75
2017-04-26,20.458333333333332
2017-04-27,11.916666666666666
2017-04-28,17.454545454545453
2017-04-29,19.45
2017-04-30,18.291666666666668
2017-05-01,12.916666666666666
2017-05-02,24.208333333333332
2017-05-03,17.473684210526315
2017-05-04,20.916666666666668
2017-05-05,24.333333333333332
2017-05-06,27.666666666666668
2017-05-07,19.541666666666668
2017-05-08,29.25
2017-05-09,25.25
2017-05-10,27.166666666666668
2017-05-11,27.041666666666668
2017-05-12,23.166666666666668
2017-05-13,16.208333333333332
2017-05-14,18.666666666666668
2017-05-15,28.125
2017-05-16,38.333333333333336
2017-05-17,34.666666666666664
2017-05-18,21.541666666666668
2017-05-19,20.458333333333332
2017-05-20,18.958333333333332
2017-05-21,22.708333333333332
2017-05-22,27.916666666666668
2017-05-23,35.875
2017-05-24,45.791666666666664
2017-05-25,46.0
2017-05-26,34.458333333333336
2017-05-27,26.416666666666668
2017-05-28,24.958333333333332
2017-05-29,33.208333333333336
2017-05-30,25.708333333333332
2017-05-31,28.583333333333332
2017-06-01,34.958333333333336
2017-06-02,33.55
2017-06-03,29.833333333333332
2017-06-04,17.375
2017-06-05,11.541666666666666
2017-06-06,24.666666666666668
2017-06-07,34.25
2017-06-08,35.958333333333336
2017-06-09,33.416666666666664
2017-06-10,31.375
2017-06-11,28.25
2017-06-12,33.523809523809526
2017-06-13,40.458333333333336
2017-06-14,36.208333333333336
2017-06-15,46.958333333333336
2017-06-16,41.75
2017-06-17,29.5
2017-06-18,28.458333333333332
2017-06-19,33.904761904761905
2017-06-20,26.0
2017-06-22,43.733333333333334
2017-06-23,92.41666666666667
2017-06-24,87.04166666666667
2017-06-25,27.5
2017-06-26,33.041666666666664
2017-06-27,31.541666666666668
2017-06-28,41.875
2017-06-29,26.041666666666668
2017-06-30,20.083333333333332
2017-07-01,16.958333333333332
2017-07-02,16.083333333333332
2017-07-03,24.866666666666667
2017-07-04,34.541666666666664
2017-07-05,22.583333333333332
2017-07-06,31.625
2017-07-07,32.583333333333336
2017-07-08,31.375
2017-07-09,27.416666666666668
2017-07-10,33.041666666666664
2017-07-11,29.958333333333332
